REC.1403;;Un fournisseur demande du lest;;;;;;;;;;;;x
DESCREC.1403;One of our suppliers finds it difficult to provide in time the materials we need for the construction of the Cathedral, which may cause a delay in delivery unless we can extend financial assistance.;Un de nos fournisseurs rencontrent des difficultés pour nous fournir à temps les matériaux dont nous avons besoin pour le chantier de la Cathédrale, ce qui risque de causer un retard dans les livraisons à moins que l'on puisse lui fournir une aide pécuniaire.;;;;;;;;;;;;x
REC.1403A;The construction must not be delayed.;Le chantier ne doit souffrir aucun retard.;;;;;;;;;;;;x
REC.1403B;We need to wait for how many years exactly?;Nous ne sommes à plus à quelques années près...;;;;;;;;;;;;x
REC.1404;Cargo for ransom;Cargaison rançonnée;;;;;;;;;;;;x
DESCREC.1404;A cargo of stone blocks due for the construction of our Cathedral has been intercepted by bandits whom demand ransom. We have to pay to get it back if we do not want to suffer too much delay on site.;Une cargaison de blocs de pierre destinée au chantier de notre Cathédrale a été interceptée par des brigands qui nous en demande rançon. Il nous faut payer pour la récupérer si nous ne voulons souffrir trop de retard sur le chantier.;;;;;;;;;;;;x
REC.1404A;Immediate payment is our only solution ...;Dans l'immédiat payer est notre seule solution...;;;;;;;;;;;;x
REC.1404B;So much for that one. Make sure you escort the next one.;Tant pis pour celle-ci. Veillez à ce qu'on fasse escorter les prochaines.;;;;;;;;;;;;x
REC.1405;Surcoût (AR) défaut de conception;Surcoût (AR) défaut de conception;;;;;;;;;;;;x
DESCREC.1405;If you ever had doubts about the competence of your architect, here is some news that will not reassure you. It seems that some parts of the Cathedral strucutre show weaknesses and flaws. Is this not the work of someone who is trying to reduce the cost of the work.;Si jamais vous aviez quelques déjà doutes sur les compétences de votre architecte, voici des nouvelles qui ne vont pas vous rassurer. Il semblerait que certaines structures de la Cathédrale montrent des faiblesses et des défauts. Ce n'est pas ça qui va alléger le coût des travaux.;;;;;;;;;;;;x
REC.1405A;Note to self: "choose a better architect";Note pour plus tard : "mieux choisir son architecte";;;;;;;;;;;;x
REC.1406;Surely (AR) the cost has been underestimated;surcoût (AR) coût mésestimé;;;;;;;;;;;;x
DESCREC.1406;Our Architect seems to be not a kindred spirit to clarity and evidence, his last cost estimates reveal themselves to be greatly disconnected with reality. It will cost us more than expected.;Notre architecte ne semble pas être un esprit des plus éclairés et pour preuve, ses dernières estimations des coûts se sont révélées grandement en dessous de la réalité. Cela va nous coûter plus cher que prévu.;;;;;;;;;;;;x
REC.1406A;Argh...!;Argh...!;;;;;;;;;;;;x
REC.1407;Unscrupulous suppliers v2;Fournisseurs peu scrupuleux v2 ;;;;;;;;;;;;x
DESCREC.1407;One of our suppliers of stone for the construction of the Cathedral appeared this morning to post an increase in the rates -a crisis obliges it - it seems ...;Un de nos fournisseurs de pierres pour la construction de la Cathédrale, s'est présenté ce matin pour nous soumettre une augmentation de ces tarifs -crise oblige paraît-il-,...;;;;;;;;;;;;x
REC.1407A;Arrest this cretin! Does he take me for a fool?;Arrestez ! Il me prend pour un jambon ? Virez-le sur le champs !;;;;;;;;;;;;x
#;;x;;;;;;;;;;;;x
REC.1408;pre-proposal loan;pré-proposition emprunt;;;;;;;;;;;;x
DESCREC.1408;Rumors of the construction of our Cathedral is spreading to all and all and have reached the ears of loan sharks that come to offer their loan services to accelerate the funding of the construction.;Les rumeurs de la construction de notre Cathédrale se répand de plus en plus et sont venues à l'oreille d'usuriers qui viennent nous proposer leurs services de prêts pour accélérer le financement du chantier.;;;;;;;;;;;;x
REC.1408A;Let's see what you have to offer me ... (usury is a sin?);Voyons ce que vous avez à me proposer... (l'usure est un péché ? );;;;;;;;;;;;x
usure1;Usury is a sin? \n;L'usure est un péché ? \n;;;;;;;;;;;;x
REC.1408B;Not for now.;Pas pour le moment.;;;;;;;;;;;;x
usure2;I'll think about it for a while.;Je vais y réfléchir pendant un temps.;;;;;;;;;;;;x
REC.1408C;Not in your life! Get out!;Jamais de la vie ! Sortez !;;;;;;;;;;;;x
usure3;Usury is a sin!\n;L'usure est un péché !\n;;;;;;;;;;;;x
REC.1409;Loans at 3%;Prêts à 3%;;;;;;;;;;;;x
DESCREC.1409;With regard to your income, here are the sums we can lend you.\nThe interest rate is 3% and the duration is 10 years.;Au regard de nos revenus, voici les sommes que nous pouvons vous prêter.\nLe taux d'intérêt est de 3% et la durée est de 10ans.;;;;;;;;;;;;x
REC.1409A;Moneylenders have cancelled in light of our revenue. The filth!;Les usuriers ont renoncé au vu de nos revenus. Les ordures !;;;;;;;;;;;;x
REC.1409B;Borrow 150 ducats. 18 ducats annual interest;Emprunter 150 ducats. Remboursement annuel 18 ducats;;;;;;;;;;;;x
REC.1409C;Borrow 250 ducats. 30 ducats annual interest;Emprunter 250 ducats. Remboursement annuel 30 ducats;;;;;;;;;;;;x
REC.1409D;Borrow 350 ducats. 42 ducats annual interest;Emprunter 350 ducats. Remboursement annuel 42 ducats;;;;;;;;;;;;x
REC.1409E;Borrow 450 ducats. 54 ducats annual interest;Emprunter 450 ducats. Remboursement annuel 54 ducats;;;;;;;;;;;;x
REC.1409F;Not very interesting. I decline your offers.;Pas très intéressant. Je décline vos offres.;;;;;;;;;;;;x
REC.1410;Loans at 4%;Prêts à 4%;;;;;;;;;;;;x
DESCREC.1410;With regard to your income, here are the sums we can lend you.\nThe interest rate is 3% and the duration is 10 years.;Au regard de nos revenus, voici les sommes que nous pouvons vous prêter.\nLe taux d'intérêt est de 4% et la durée est de 10ans.;;;;;;;;;;;;x 
REC.1410A;Moneylenders have cancelled in light of our revenue. The filth!;Les usuriers ont renoncé au vu de nos revenus. Les ordures !;;;;;;;;;;;;x
REC.1410B;Borrow 150 ducats. 19 ducats annual interest;Emprunter 150 ducats. Remboursement annuel 19 ducats;;;;;;;;;;;;x
REC.1410C;Borrow 250 ducats. 32 ducats annual interest;Emprunter 250 ducats. Remboursement annuel 32 ducats;;;;;;;;;;;;x
REC.1410D;Borrow 350 ducats. 45 ducats annual interest;Emprunter 350 ducats. Remboursement annuel 45 ducats;;;;;;;;;;;;x
REC.1410E;Borrow 450 ducats. 57 ducats annual interest;Emprunter 450 ducats. Remboursement annuel 57 ducats;;;;;;;;;;;;x
REC.1410F;Not very interesting. I decline your offers.;Pas très intéressant. Je décline vos offres.;;;;;;;;;;;;x
REC.1410G;Is this truly all you have to offer?;Est-ce vraiment tout ce que vous avez à proposer ?;;;;;;;;;;;;x
usure4;Seek to renegotiate the interest rate;Chercher à renégocier le taux d'intérêt.;;;;;;;;;;;;x
REC.1411;Loans at 5%;Prêts à 5%;;;;;;;;;;;;x
DESCREC.1411;With regard to your income, here are the sums we can lend you.\nThe interest rate is 3% and the duration is 10 years.;Au regard de nos revenus, voici les sommes que nous pouvons vous prêter.\nLe taux d'intérêt est de 5% et la durée est de 10ans.;;;;;;;;;;;;x
REC.1411A;Moneylenders have cancelled in light of our revenue. The impiety!;Les usuriers ont renoncé au vu de nos revenus. Les impies !;;;;;;;;;;;;x
REC.1411B;Borrow 150 ducats. 20 ducats annual interest;Emprunter 150 ducats. Remboursement annuel 20 ducats;;;;;;;;;;;;x
REC.1411C;Borrow 250 ducats. 34 ducats annual interest;Emprunter 250 ducats. Remboursement annuel 34 ducats;;;;;;;;;;;;x
REC.1411D;Borrow 350 ducats. 47 ducats annual interest;Emprunter 350 ducats. Remboursement annuel 47 ducats;;;;;;;;;;;;x
REC.1411E;Borrow 450 ducats. 60 ducats annual interest;Emprunter 450 ducats. Remboursement annuel 60 ducats;;;;;;;;;;;;x
REC.1411F;Not very interesting. I decline your offers.;Pas très intéressant. Je décline vos offres.;;;;;;;;;;;;x
REC.1411G;Anything better ?;Vous n'avez rien de mieux ?;;;;;;;;;;;;x
#;;x;;;;;;;;;;;;x
REC.1420;Loans;RMB emprunts;;;;;;;;;;;;x
DESCREC.1420;As on time as a helvetian cuckoo clock, usurers come claiming their annual refund and interests.;Réglés comme des coucous helvètes, nos prêteurs nous réclament le paiement de l'annuité majorée des intérêts pour cette année.;;;;;;;;;;;;x
REC.1420A1;Never late, nor ever early...;Jamais en retard les bougres  !;;;;;;;;;;;;x
REC.1420A2;The ultimate instalment. At last !;Enfin le dernier versement !;;;;;;;;;;;;x
REC.1420B1;Can't they forget me once ?;Ils ne m'oublient donc jamais ?;;;;;;;;;;;;x
REC.1420B2;The ultimate instalment. At last !;L'ultime versement. Enfin !;;;;;;;;;;;;x
REC.1420C1;Never late, nor ever early...;Jamais en retard les bougres...;;;;;;;;;;;;x
REC.1420C2;The ultimate instalment. At last !;L'ultime versement. Enfin !;;;;;;;;;;;;x
REC.1420D1;Never late, nor ever early...;Jamais en retard les bougres...;;;;;;;;;;;;x
REC.1420D2;The ultimate instalment. At last !;L'ultime versement. Enfin !;;;;;;;;;;;;x
REC.1420E1;Never late, nor ever early...;Jamais en retard les bougres...;;;;;;;;;;;;x
REC.1420E2;The ultimate instalment. At last !;L'ultime versement. Enfin !;;;;;;;;;;;;x
REC.1420F1;Never late, nor ever early...;Jamais en retard les bougres...;;;;;;;;;;;;x
REC.1420F2;The ultimate instalment. At last !;L'ultime versement. Enfin !;;;;;;;;;;;;x
REC.1420G1;Never late, nor ever early...;Jamais en retard les bougres...;;;;;;;;;;;;x
REC.1420G2;The ultimate instalment. At last !;L'ultime versement. Enfin !;;;;;;;;;;;;x
REC.1420H1;Never late, nor ever early...;Jamais en retard les bougres...;;;;;;;;;;;;x
REC.1420H2;The ultimate instalment. At last !;L'ultime versement. Enfin !;;;;;;;;;;;;x
REC.1420I1;Never late, nor ever early...;Jamais en retard les bougres...;;;;;;;;;;;;x
REC.1420I2;The ultimate instalment. At last !;L'ultime versement. Enfin !;;;;;;;;;;;;x
REC.1420J1;Never late, nor ever early...;Jamais en retard les bougres...;;;;;;;;;;;;x
REC.1420J2;The ultimate instalment. At last !;L'ultime versement. Enfin !;;;;;;;;;;;;x
REC.1420K1;Never late, nor ever early...;Jamais en retard les bougres...;;;;;;;;;;;;x
REC.1420K2;The ultimate instalment. At last !;L'ultime versement. Enfin !;;;;;;;;;;;;x
REC.1420L1;Never late, nor ever early...;Jamais en retard les bougres...;;;;;;;;;;;;x
REC.1420L2;The ultimate instalment. At last !;L'ultime versement. Enfin !;;;;;;;;;;;;x
REC.1421;Death of a debt;Mort d'un endetté;;;;;;;;;;;;x
DESCREC.1421;I died leaving the debt to my heir;Je suis mort en laissant une dette à mon héritier.;;;;;;;;;;;;x
REC.1421A;This will be for my heir to deal with;Ce sera à mon héritier de s'en occuper;;;;;;;;;;;;x
TOOLTIPREC.1421A;Loaners will visit my heir soon;Les prêteurs vont bientôt rendre visite à mon héritier;;;;;;;;;;;;x
REC.1422;Visit lenders;Visite des prêteurs;;;;;;;;;;;;x
DESCREC.1422;The lenders present their condolences. \nHowever they want you to pay your predecessor's loan. \nIn their kindless they have extended the contract a year;Les prêteurs vous présentent leur condoléances. \nCependant ils désirent que vous remboursiez l'emprunt contracté par votre prédécesseur.\nDans leur grande bonté, ils décalent les échéances à pile dans une année.;;;;;;;;;;;;x
REC.1422A;I will honor the loan;Je vais honorer l'emprunt;;;;;;;;;;;;x
REC.1422B;Request a period of 5 years before the next deadline;Demander un délai de 5 ans avant la prochaine échéance;;;;;;;;;;;;x
REC.1422C;What loan?;Quel emprunt ?;;;;;;;;;;;;x
TOOLTIPREC.1422C;No one will lend you money after your refusal to pay;Plus personne ne vous prêtera de l'argent après ce refus de payer;;;;;;;;;;;;x
REC.2001;Jealous cousins;Voisins jaloux;;;;;;;;;;;;x
DESCREC.2001;One of our neighbors has embarked on the construction of a cathedral with a relic.\nThe cathedral begins to take shape and makes you jealous.\nShould you as you embark on the construction of a cathedral even with a fake relic?;Un de nos voisins s'est lancé dans la construction d'une cathédrale grâce à une relique.\nLa cathédrale commence à prendre forme et à vous rendre jaloux.\nDevez vous vous lancez vous aussi dans la construction d'une cathédrale même avec une fausse relique ?;;;;;;;;;;;;x
REC.2001A;Do not wait a second, falsify us a relic;Il ne faut pas attendre une seconde, falsifions une relique;;;;;;;;;;;;x
REC.2001B;I must not do so for reasons of honour;Je ne dois pas être fait pour un tel honneur;;;;;;;;;;;;x
TOOLTIPREC.2001A;The §Ydecision§! build a cathedral has become available \n;La §Ydécision§! pour construire une cathédrale devient disponible\n;;;;;;;;;;;;x
REC.2004;;Faire un coup bas;;;;;;;;;;;;x
DESCREC.2004;;Vous réfléchissez à une manière de mettre des bâtons dans les roues (de construction) à un autre bâtisseur de cathédrale, en l'occurrence à un co-vassal;;;;;;;;;;;;x
REC.2004A;;Non, cela ne plairait pas à Dieu;;;;;;;;;;;;x
TOOLTIPREC.2004B;;Une bonne compétence en §Yintendance§! serait préférable pour mener à bien le coup bas\n;;;;;;;;;;;;x
TOOLTIPREC.2004C;;Une bonne compétence en §Ymartial§! serait préférable pour mener à bien le coup bas\n;;;;;;;;;;;;x
TOOLTIPREC.2004D;;Une bonne compétence en §Yconnaissance§! serait préférable pour mener à bien le coup bas\n;;;;;;;;;;;;x
REC.2004B;;Soudoyez certains membres du chantier;;;;;;;;;;;;x
REC.2004C;;Massacrez certains membres du chantier;;;;;;;;;;;;x
REC.2004D;;Effrayez certains membres du chantier avec des malédictions;;;;;;;;;;;;x
REC.20041;;Faire un coup bas;;;;;;;;;;;;x
DESCREC.20041;;Vous réfléchissez à une manière de mettre des bâtons dans les roues (de construction) à un autre bâtisseur de cathédrale, en l'occurrence à un voisin;;;;;;;;;;;;x
REC.20041B;;Faisons un coup bas à ce voisin;;;;;;;;;;;;x
EVTTOOLTIPREC.2004A;;Coup bas est un succès et reste anonyme;;;;;;;;;;;;x
EVTTOOLTIPREC.2004B;;Coup bas est un succès mais identité dévoilée;;;;;;;;;;;;x
EVTTOOLTIPREC.2004C;;Coup bas est un échec mais reste anonyme;;;;;;;;;;;;x
EVTTOOLTIPREC.2004D;;Coup bas est un échec et identité dévoilée;;;;;;;;;;;;x
REC.2009;;Compte-rendu du coup bas;;;;;;;;;;;;x
DESCREC.2009;;Le coup bas est un succès et mon nom n'a pas été divulgué.;;;;;;;;;;;;x
REC.2009A;;C'est une réussite totale;;;;;;;;;;;;x
REC.2010;;Compte-rendu du coup bas;;;;;;;;;;;;x
DESCREC.2010;;Le coup bas est un succès mais mon nom a été divulgué sous la torture.;;;;;;;;;;;;x
REC.2010A;;Je dois m'attendre à en subir les conséquences;;;;;;;;;;;;x
REC.2011;;Compte-rendu du coup bas;;;;;;;;;;;;x
DESCREC.2011;;Le coup bas est un échec mais mon nom n'a pas été divulgué.;;;;;;;;;;;;x
REC.2011A;;Au moins ces minables n'ont pas avoué;;;;;;;;;;;;x
REC.2012;;Compte-rendu du coup bas;;;;;;;;;;;;x
DESCREC.2012;;Le coup bas est un échec et mon nom a été divulgué sous la torture.;;;;;;;;;;;;x
REC.2012A;;Je dois m'attendre à en subir les conséquences;;;;;;;;;;;;x
REC.2013;;Réaction au coup bas dévoilé;;;;;;;;;;;;x
DESCREC.2013;;Un coup bas a été intenté contre la construction de ma cathédrale. \nAprès avoir soumis à la question, je connais le nom du coupable.;;;;;;;;;;;;x
